publication_id,institute,source,dataset_acc,library_id,author_sample_id,sanger_10x_chemistry,irods_path,HDCA_version
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223128,10X254_4,,/archive/cellgeni/datasets/EGAD50000001295/10X254_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223124,10X254_5,,/archive/cellgeni/datasets/EGAD50000001295/10X254_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223071,10X254_6,,/archive/cellgeni/datasets/EGAD50000001295/10X254_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223093,10X254_7,,/archive/cellgeni/datasets/EGAD50000001295/10X254_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223127,10X254_8,,/archive/cellgeni/datasets/EGAD50000001295/10X254_8_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223094,10X255_1,,/archive/cellgeni/datasets/EGAD50000001295/10X255_1_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223068,10X255_2,,/archive/cellgeni/datasets/EGAD50000001295/10X255_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223073,10X255_3,,/archive/cellgeni/datasets/EGAD50000001295/10X255_3_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223112,10X255_4,,/archive/cellgeni/datasets/EGAD50000001295/10X255_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223121,10X255_6,,/archive/cellgeni/datasets/EGAD50000001295/10X255_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223114,10X255_7,,/archive/cellgeni/datasets/EGAD50000001295/10X255_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223122,10X257_1,,/archive/cellgeni/datasets/EGAD50000001295/10X257_1_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223087,10X257_2,,/archive/cellgeni/datasets/EGAD50000001295/10X257_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223123,10X257_4,,/archive/cellgeni/datasets/EGAD50000001295/10X257_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223105,10X257_5,,/archive/cellgeni/datasets/EGAD50000001295/10X257_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223115,10X257_6,,/archive/cellgeni/datasets/EGAD50000001295/10X257_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223109,10X287_4,,/archive/cellgeni/datasets/EGAD50000001295/10X287_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223086,10X287_5,,/archive/cellgeni/datasets/EGAD50000001295/10X287_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223100,10X287_6,,/archive/cellgeni/datasets/EGAD50000001295/10X287_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223067,10X287_7,,/archive/cellgeni/datasets/EGAD50000001295/10X287_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223107,10X287_8,,/archive/cellgeni/datasets/EGAD50000001295/10X287_8_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223126,10X288_1,,/archive/cellgeni/datasets/EGAD50000001295/10X288_1_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223080,10X288_2,,/archive/cellgeni/datasets/EGAD50000001295/10X288_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223078,10X288_3,,/archive/cellgeni/datasets/EGAD50000001295/10X288_3_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223081,10X288_4,,/archive/cellgeni/datasets/EGAD50000001295/10X288_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223110,10X288_5,,/archive/cellgeni/datasets/EGAD50000001295/10X288_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223088,10X288_6,,/archive/cellgeni/datasets/EGAD50000001295/10X288_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223113,10X288_7,,/archive/cellgeni/datasets/EGAD50000001295/10X288_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223120,10X288_8,,/archive/cellgeni/datasets/EGAD50000001295/10X288_8_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223077,10X298_1,,/archive/cellgeni/datasets/EGAD50000001295/10X298_1_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223089,10X298_2,,/archive/cellgeni/datasets/EGAD50000001295/10X298_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223091,10X298_3,,/archive/cellgeni/datasets/EGAD50000001295/10X298_3_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223130,10X298_4,,/archive/cellgeni/datasets/EGAD50000001295/10X298_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223116,10X298_5,,/archive/cellgeni/datasets/EGAD50000001295/10X298_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223098,10X298_6,,/archive/cellgeni/datasets/EGAD50000001295/10X298_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223074,10X298_7,,/archive/cellgeni/datasets/EGAD50000001295/10X298_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223079,10X298_8,,/archive/cellgeni/datasets/EGAD50000001295/10X298_8_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223064,10X302_1,,/archive/cellgeni/datasets/EGAD50000001295/10X302_1_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223129,10X302_2,,/archive/cellgeni/datasets/EGAD50000001295/10X302_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223095,10X302_3,,/archive/cellgeni/datasets/EGAD50000001295/10X302_3_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223108,10X302_4,,/archive/cellgeni/datasets/EGAD50000001295/10X302_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223119,10X302_5,,/archive/cellgeni/datasets/EGAD50000001295/10X302_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223106,10X302_6,,/archive/cellgeni/datasets/EGAD50000001295/10X302_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223099,10X302_7,,/archive/cellgeni/datasets/EGAD50000001295/10X302_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223111,10X302_8,,/archive/cellgeni/datasets/EGAD50000001295/10X302_8_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408224,10X210_2,,/archive/cellgeni/datasets/EGAD00001006049/10X210_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408223,10X210_3,,/archive/cellgeni/datasets/EGAD00001006049/10X210_3,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408222,10X210_4,,/archive/cellgeni/datasets/EGAD00001006049/10X210_4,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408220,10X210_6,,/archive/cellgeni/datasets/EGAD00001006049/10X210_6,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408210,10X212_3,,/archive/cellgeni/datasets/EGAD00001006049/10X212_3,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408178,10X97_3,,/archive/cellgeni/datasets/EGAD00001006049/10X97_3,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408200,10X89_1,,/archive/cellgeni/datasets/EGAD00001006049/10X89_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408145,10X101_2,,/archive/cellgeni/datasets/EGAD00001006049/10X101_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408142,10X101_5,,/archive/cellgeni/datasets/EGAD00001006049/10X101_5,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408221,10X210_5,,/archive/cellgeni/datasets/EGAD00001006049/10X210_5,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408218,10X210_8,,/archive/cellgeni/datasets/EGAD00001006049/10X210_8,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408213,10X211_5,,/archive/cellgeni/datasets/EGAD00001006049/10X211_5,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408198,10X89_3,,/archive/cellgeni/datasets/EGAD00001006049/10X89_3,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408196,10X89_5,,/archive/cellgeni/datasets/EGAD00001006049/10X89_5,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408181,10X96_8,,/archive/cellgeni/datasets/EGAD00001006049/10X96_8,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408206,10X213_1,,/archive/cellgeni/datasets/EGAD00001006049/10X213_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408202,10X214_1,,/archive/cellgeni/datasets/EGAD00001006049/10X214_1,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408185,10X96_4,,/archive/cellgeni/datasets/EGAD00001006049/10X96_4,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408184,10X96_5,,/archive/cellgeni/datasets/EGAD00001006049/10X96_5,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408214,10X211_4,,/archive/cellgeni/datasets/EGAD00001006049/10X211_4,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408209,10X212_4,,/archive/cellgeni/datasets/EGAD00001006049/10X212_4,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408208,10X212_5,,/archive/cellgeni/datasets/EGAD00001006049/10X212_5,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408207,10X212_6,,/archive/cellgeni/datasets/EGAD00001006049/10X212_6,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408204,10X213_3,,/archive/cellgeni/datasets/EGAD00001006049/10X213_3,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408219,10X210_7,,/archive/cellgeni/datasets/EGAD00001006049/10X210_7,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408217,10X211_1,,/archive/cellgeni/datasets/EGAD00001006049/10X211_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408216,10X211_2,,/archive/cellgeni/datasets/EGAD00001006049/10X211_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408212,10X212_1,,/archive/cellgeni/datasets/EGAD00001006049/10X212_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408211,10X212_2,,/archive/cellgeni/datasets/EGAD00001006049/10X212_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408225,10X210_1,,/archive/cellgeni/datasets/EGAD00001006049/10X210_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408192,10X92_1,,/archive/cellgeni/datasets/EGAD00001006049/10X92_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408190,10X92_3,,/archive/cellgeni/datasets/EGAD00001006049/10X92_3,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408169,10X99_2,,/archive/cellgeni/datasets/EGAD00001006049/10X99_2,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408167,10X99_4,,/archive/cellgeni/datasets/EGAD00001006049/10X99_4,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408165,10X99_6,,/archive/cellgeni/datasets/EGAD00001006049/10X99_6,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408205,10X213_2,,/archive/cellgeni/datasets/EGAD00001006049/10X213_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408203,10X213_4,,/archive/cellgeni/datasets/EGAD00001006049/10X213_4,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408201,10X214_2,,/archive/cellgeni/datasets/EGAD00001006049/10X214_2,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408138,10X147_5,,/archive/cellgeni/datasets/EGAD00001006049/10X147_5,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408147,10X147_4,,/archive/cellgeni/datasets/EGAD00001006049/10X147_4,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408149,10X147_6,,/archive/cellgeni/datasets/EGAD00001006049/10X147_6,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408150,10X147_7,,/archive/cellgeni/datasets/EGAD00001006049/10X147_7,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408148,10X147_8,,/archive/cellgeni/datasets/EGAD00001006049/10X147_8,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408151,10X148_1,,/archive/cellgeni/datasets/EGAD00001006049/10X148_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408152,10X148_2,,/archive/cellgeni/datasets/EGAD00001006049/10X148_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408153,10X148_3,,/archive/cellgeni/datasets/EGAD00001006049/10X148_3,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408154,10X148_4,,/archive/cellgeni/datasets/EGAD00001006049/10X148_4,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408155,10X148_5,,/archive/cellgeni/datasets/EGAD00001006049/10X148_5,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408156,10X148_6,,/archive/cellgeni/datasets/EGAD00001006049/10X148_6,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408157,10X148_7,,/archive/cellgeni/datasets/EGAD00001006049/10X148_7,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408158,10X148_8,,/archive/cellgeni/datasets/EGAD00001006049/10X148_8,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408159,10X151_1,,/archive/cellgeni/datasets/EGAD00001006049/10X151_1,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408160,10X151_3,,/archive/cellgeni/datasets/EGAD00001006049/10X151_3,v2
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408161,10X152_1,,/archive/cellgeni/datasets/EGAD00001006049/10X152_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408162,10X152_2,,/archive/cellgeni/datasets/EGAD00001006049/10X152_2,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408163,10X152_3,,/archive/cellgeni/datasets/EGAD00001006049/10X152_3,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408164,10X152_4,,/archive/cellgeni/datasets/EGAD00001006049/10X152_4,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408398,10X152_5,,/archive/cellgeni/datasets/EGAD00001006049/10X152_5,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408426,10X152_6,,/archive/cellgeni/datasets/EGAD00001006049/10X152_6,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408400,10X152_7,,/archive/cellgeni/datasets/EGAD00001006049/10X152_7,v1
braun_2023_brain,Karolinska Institutet,external,EGAD00001006049,EGAN00002408399,10X152_8,,/archive/cellgeni/datasets/EGAD00001006049/10X152_8,v1
